model,auc,gini,ks
Logistic Regression (WOE),0.7036198913411174,0.4072397826822347,0.2962438426948705
Random Forest,0.6904954206037452,0.3809908412074905,0.27429515715908814
sub_grade only (LC benchmark),0.6901731062992239,0.3803462125984478,NA
