grade,mean_lgd,n
A,0.4529552252419149,9999
B,0.45070967044267485,36834
C,0.4698670854929974,59892
D,0.47319380956672497,42574
E,0.47168949093437756,25386
F,0.4813412128358303,10122
G,0.516699088680597,3191
