grade,default_rate,n
A,6.0403741244755365,235002
B,13.385814735554877,392520
C,22.436704214125395,381384
D,30.380642140601495,200766
E,38.48422987719505,93563
F,45.206206487465266,32031
G,49.93963341016354,9111
